tissue,dataset_name,platform,expected_sender_cell_types,module_id,pathway,tier,evidence_status,expected_receiver_cell_types,training_coupling,training_gating,training_pattern_magnitude,training_status,corr_above_null,within_stratum_support,manual_review_required,source_experiment,source_manual_review_required,source_module_id,biobench_v2_action,included_in_clean,biobench_v2_notes
adipose,tissue::adipose,combined_cells_v13,epithelial;tumor;fibroblast,egfr_ligands,EGFR,ALL,training_ok,epithelial;tumor,0.0144576529166613,-0.0354350851953849,0.0498927381120462,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,egfr_erbb_ligands,split_egfr_erbb,true,Split classical EGFR ligands from neuregulins.
adipose,tissue::adipose,combined_cells_v13,epithelial;tumor;fibroblast,neuregulin_erbb_ligands,EGFR,ALL,training_ok,epithelial;tumor,0.0144576529166613,-0.0354350851953849,0.0498927381120462,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,egfr_erbb_ligands,split_egfr_erbb,true,Neuregulins retained as ERBB-axis rows.
adipose,tissue::adipose,combined_cells_v13,myeloid;tcell;bcell_plasma,il10_immune,JAK-STAT,ALL,training_underpowered,tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL10 immune receptor axis.
adipose,tissue::adipose,combined_cells_v13,myeloid;epithelial;tumor;fibroblast,il20_24_epithelial_stromal,JAK-STAT,ALL,training_underpowered,epithelial;tumor;fibroblast,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL19/20/24 epithelial-stromal receptor axis.
adipose,tissue::adipose,combined_cells_v13,tcell;myeloid,il22_epithelial,JAK-STAT,ALL,training_underpowered,epithelial;tumor,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family,true,IL22RA1-restricted epithelial receiver logic; IL22RA2 is decoy-only.
adipose,tissue::adipose,combined_cells_v13,tcell;myeloid,il26_context_specific,JAK-STAT,ALL,training_underpowered,epithelial;tumor;myeloid,,,,UNDERPOWERED,False,,true,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il10_family,split_il10_family_review,false,IL26 retained only in unfiltered audit rows.
adipose,tissue::adipose,combined_cells_v13,tcell;myeloid,il2_common_gamma_chain,JAK-STAT,ALL,training_underpowered,tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,il2_family,tighten_sender_context,true,Removed broad fibroblast sender assignment.
adipose,tissue::adipose,combined_cells_v13,myeloid;fibroblast;epithelial;tumor,il6_gp130_family,JAK-STAT,ALL,training_ok,epithelial;tumor;myeloid;tcell,0.0164639423455177,-0.0108055047035202,0.0272694470490379,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,il6_family,split_il6_gp130_il31,true,gp130 cytokine row with CRLF1 retained for CLCF1.
adipose,tissue::adipose,combined_cells_v13,myeloid;fibroblast;epithelial;tumor,il31_osmr_ligand,JAK-STAT,ALL,training_ok,epithelial;tumor;myeloid;tcell,0.0164639423455177,-0.0108055047035202,0.0272694470490379,OK,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,false,il6_family,split_il6_gp130_il31,true,IL31 split onto IL31RA/OSMR rather than generic IL6ST biology.
adipose,tissue::adipose,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_i_interferons,JAK-STAT,ALL,training_underpowered,epithelial;tumor;tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,interferons,split_interferon_types,true,Type I IFN receptor axis.
adipose,tissue::adipose,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_ii_interferon,JAK-STAT,ALL,training_underpowered,epithelial;tumor;tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,interferons,split_interferon_types,true,Type II IFN receptor axis.
adipose,tissue::adipose,combined_cells_v13,tcell;myeloid;epithelial;tumor,type_iii_interferons,JAK-STAT,ALL,training_underpowered,epithelial;tumor;tcell;myeloid,,,,UNDERPOWERED,False,,false,2026-04-30_biobench_module_coupling_combined_tissues;production_biobench_v2_manual_review_20260521,true,interferons,split_interferon_types,true,Type III IFN receptor axis.
