slice,target,metric,real_value,null_mean,null_p05,null_p50,null_p95,null_max,empirical_p_ge_real,n_null
all,label_bin,auc_high,0.36578947368421055,0.4376578947368421,0.2971052631578947,0.43157894736842106,0.6106578947368421,0.6973684210526315,0.765,200
all,label_bin,pearson,-0.2622125725052721,-0.10547155840281214,-0.32520481577616156,-0.12211728782326285,0.16682806524760938,0.30555406060219203,0.87,200
all,label_bin,spearman,-0.23245945048950722,-0.10797969376659658,-0.35142399279884334,-0.11850873946523899,0.1916650959428191,0.34185213307280476,0.765,200
all,best_available_primary_orr,pearson,-0.01806236423884637,-0.06160658469793219,-0.2842563739135084,-0.05176965866351971,0.18762893773504527,0.28005546417081484,0.365,200
all,best_available_primary_orr,spearman,-0.03009608333857784,-0.08337077086065381,-0.33244952058059307,-0.0857012373139108,0.17858659452125175,0.3214208900413906,0.38,200
breast,label_bin,auc_high,0.1,0.30125,0.0,0.3,0.6,0.9,0.885,200
breast,label_bin,pearson,-0.6677820922084027,-0.34663507594112253,-0.7464721671373571,-0.35394344542294287,0.14136548465436205,0.6627053416043278,0.905,200
breast,label_bin,spearman,-0.6928203230275509,-0.3442450980043143,-0.8660254037844386,-0.34641016151377546,0.17320508075688773,0.6928203230275509,0.885,200
breast,best_available_primary_orr,pearson,-0.7453458255843632,-0.3200275390382823,-0.7217856385541004,-0.33334387234526014,0.17797655723214767,0.6583895794870347,0.96,200
breast,best_available_primary_orr,spearman,-0.8619322310183947,-0.3336430878709068,-0.803772726109872,-0.34309923758984645,0.1870309258569031,0.8786687791935092,0.985,200
crc,label_bin,auc_high,0.3333333333333333,0.4653333333333333,0.06666666666666667,0.4666666666666667,0.8033333333333322,1.0,0.74,200
crc,label_bin,pearson,-0.39866220067129654,-0.05115770267813044,-0.6402929451387434,-0.05713317799132386,0.5454316910011444,0.6939993675706997,0.775,200
crc,label_bin,spearman,-0.2817180849095055,-0.05859736166117715,-0.7324670207647144,-0.05634361698190111,0.5127269145352982,0.8451542547285167,0.74,200
crc,best_available_primary_orr,pearson,-0.5501977081232287,-0.12053252817512877,-0.5851508864128322,-0.11132179339909079,0.3168949587733663,0.542979122124858,0.93,200
crc,best_available_primary_orr,spearman,-0.6139845991168652,-0.10386066213773903,-0.6264466627623066,-0.12158110873601292,0.3778132953971598,0.6443798763008685,0.94,200
nsclc,label_bin,auc_high,0.5714285714285714,0.5213265306122449,0.2653061224489796,0.5,0.8163265306122449,0.9591836734693877,0.39,200
nsclc,label_bin,pearson,0.005234557775131987,0.022513476122482414,-0.416019350215722,0.002347064937226445,0.5135774660251364,0.7961644900564877,0.495,200
nsclc,label_bin,spearman,0.12403473458920845,0.037033227898777964,-0.40754269936454207,0.0,0.5492966817522089,0.7973661509306258,0.39,200
nsclc,best_available_primary_orr,pearson,0.21070925263919982,0.12507054143491583,-0.27869305130381955,0.11582048975281281,0.5336787926379403,0.699144265540836,0.36,200
nsclc,best_available_primary_orr,spearman,0.37748712277689894,0.11746251346759527,-0.3167801293478654,0.11920645982428386,0.5059651961430713,0.6953710156416559,0.185,200
ovarian,label_bin,auc_high,0.13333333333333333,0.38933333333333336,0.0,0.4,0.8,1.0,0.89,200
ovarian,label_bin,pearson,-0.6422718049586575,-0.1914361142163956,-0.7020280817025197,-0.2629760520790084,0.5077806354628324,0.774721877174293,0.895,200
ovarian,label_bin,spearman,-0.6197797868009122,-0.18706080837991165,-0.8451542547285167,-0.16903085094570333,0.50709255283711,0.8451542547285167,0.89,200
ovarian,best_available_primary_orr,pearson,-0.3086466857902474,-0.08448449701458204,-0.45301174990670673,-0.10941481951230457,0.370248484229746,0.5582121434377229,0.77,200
ovarian,best_available_primary_orr,spearman,-0.39860139860139865,-0.07716783216783218,-0.5461538461538462,-0.05944055944055944,0.4125874125874127,0.6923076923076924,0.855,200
