cohort_key,drug_key,drug,cohort,patient_count,label,label_bin,best_available_primary_orr,strict_primary_orr,full_marker_score_coverage_weighted_mean,full_marker_score_mean_tanh_mean,full_marker_score_strict_coverage_mean,full_marker_baseline_score_mean,full_marker_delta_score_mean,full_marker_gene_ordinal_score_mean,full_marker_term_coverage_mean,full_marker_baseline_coverage_mean,full_marker_delta_coverage_mean,shuffle_iter
breast,bortezomib,Bortezomib,breast,13,failure,0.0,0.0,0.0,-0.03356560657317276,-0.03356560657317276,-0.03356560657317276,-0.07206326000805068,0.004932046861705175,1.4230769230769231,1.0,1.0,1.0,0
breast,docetaxel,Docetaxel,breast,13,success,1.0,47.8,47.8,0.005870654248835426,0.005870654248835426,0.005870654248835426,0.01464303283592555,-0.002901724338254704,1.5,1.0,1.0,1.0,0
breast,doxorubicin,Doxorubicin (hydrochloride),breast,13,success,1.0,33.3,33.3,-0.007182966669575872,-0.007182966669575872,-0.007182966669575872,-0.002689085407852695,-0.011676847931299049,1.4615384615384615,1.0,1.0,1.0,0
breast,erlotinib,Erlotinib,breast,13,failure,0.0,2.9999999999999996,2.9999999999999996,0.016086425210390245,0.016086425210390245,0.016086425210390245,0.022253383109335386,0.009919467311445107,1.5,1.0,1.0,1.0,0
breast,gefitinib,Gefitinib,breast,13,failure,0.0,1.7,1.7,-0.020903707188647373,-0.020903707188647373,-0.020903707188647373,-0.03785666621127666,-0.003950748166018084,1.4423076923076923,1.0,1.0,1.0,0
breast,gemcitabine,Gemcitabine,breast,13,success,1.0,20.2314606741573,20.2314606741573,0.018757247145919677,0.018757247145919677,0.018757247145919677,0.009354356474122012,0.028160137817717333,1.5769230769230769,1.0,1.0,1.0,0
breast,paclitaxel,Paclitaxel,breast,13,success,1.0,25.0,25.0,0.0313520643739461,0.0313520643739461,0.0313520643739461,0.06389992302956028,-0.0011957942816680789,1.6538461538461537,1.0,1.0,1.0,0
breast,sunitinib,Sunitinib,breast,13,failure,0.0,10.59190031152648,10.59190031152648,0.060147857551684426,0.060147857551684426,0.060147857551684426,0.04766064410845851,0.07263507099491032,1.6923076923076923,1.0,1.0,1.0,0
breast,temsirolimus,Temsirolimus,breast,13,failure,0.0,0.0,,0.056876695211877104,0.056876695211877104,0.056876695211877104,0.0882962877297475,0.02994561591084534,1.7307692307692308,1.0,1.0,1.0,0
crc,5_fluorouracil,5-Fluorouracil,crc,20,success,1.0,17.3,17.3,-0.0060060382098532485,-0.0060060382098532485,-0.0060060382098532485,-0.018230682905426714,0.006218606485720215,1.475,1.0,1.0,1.0,0
crc,bortezomib,Bortezomib,crc,20,failure,0.0,0.0,0.0,0.07476755945678867,0.07476755945678867,0.07476755945678867,0.024482248274756473,0.12505287063882084,1.85,1.0,1.0,1.0,0
crc,cabozantinib,Cabozantinib (S-malate),,20,,,2.5,2.5,0.11923330820992577,0.11923330820992577,0.11923330820992577,0.07031446838027841,0.16815214803957312,1.975,1.0,1.0,1.0,0
crc,gefitinib,Gefitinib,crc,20,failure,0.0,1.0000000000000002,1.0000000000000002,0.04368126192996205,0.04368126192996205,0.04368126192996205,0.012120568850266416,0.07524195500965768,1.725,1.0,1.0,1.0,0
crc,irinotecan,Irinotecan,crc,20,success,1.0,7.0,7.0,0.0005357130430381975,0.0005357130430381975,0.0005357130430381975,0.028591077102148938,-0.027519651016072545,1.5375,1.0,1.0,1.0,0
crc,oxaliplatin,Oxaliplatin,crc,20,failure,0.0,10.5,10.5,0.019891493579409104,0.019891493579409104,0.019891493579409104,0.01516038997590185,0.024622597182916352,1.55,1.0,1.0,1.0,0
crc,pemetrexed,Pemetrexed,crc,20,failure,0.0,0.0,0.0,0.06872883571068285,0.06872883571068285,0.06872883571068285,0.013720736304106872,0.1237369351172588,1.8,1.0,1.0,1.0,0
crc,raltitrexed,Raltitrexed,,20,,,11.11111111111111,11.11111111111111,-0.06120717831394816,-0.06120717831394816,-0.06120717831394816,0.012554181724576396,-0.1349685383524727,1.375,1.0,1.0,1.0,0
crc,regorafenib,Regorafenib,crc,20,success,1.0,1.0,1.0,-0.03236145865315007,-0.03236145865315007,-0.03236145865315007,0.03029409191473898,-0.09501700922103912,1.4625,1.0,1.0,1.0,0
crc,sunitinib,Sunitinib,crc,20,failure,0.0,1.1904761904761905,1.1904761904761905,-0.048885035703783546,-0.048885035703783546,-0.048885035703783546,-0.015805317726958486,-0.0819647536806086,1.4125,1.0,1.0,1.0,0
nsclc,docetaxel,Docetaxel,nsclc,15,success,1.0,13.314942528735632,13.314942528735632,-0.047137754546035304,-0.047137754546035304,-0.047137754546035304,0.055365459402385714,-0.14964096849445632,1.4833333333333334,1.0,1.0,1.0,0
nsclc,epirubicin,Epirubicin,nsclc,15,failure,0.0,36.0,36.0,0.03882241051419785,0.03882241051419785,0.03882241051419785,0.059091953862454916,0.018552867165940765,1.6666666666666667,1.0,1.0,1.0,0
nsclc,erlotinib,Erlotinib,nsclc,15,success,1.0,11.009314975583289,11.009314975583289,0.047382027552513376,0.047382027552513376,0.047382027552513376,0.0539405644353678,0.040823490669658936,1.7,1.0,1.0,1.0,0
nsclc,gefitinib,Gefitinib,nsclc,15,success,1.0,39.233817701453106,39.233817701453106,0.1017324503893983,0.1017324503893983,0.1017324503893983,0.025437910186002707,0.17802699059279384,1.9666666666666666,1.0,1.0,1.0,0
nsclc,gemcitabine,Gemcitabine,nsclc,15,success,1.0,0.0,0.0,-0.006215900213156689,-0.006215900213156689,-0.006215900213156689,0.02022623174973514,-0.03265803217604851,1.5333333333333334,1.0,1.0,1.0,0
nsclc,idarubicin,Idarubicin,nsclc,15,failure,0.0,0.0,0.0,0.03612292746825272,0.03612292746825272,0.03612292746825272,-0.018652896655373206,0.09089875159187862,1.75,1.0,1.0,1.0,0
nsclc,irinotecan,Irinotecan,nsclc,15,success,1.0,21.428571428571427,21.428571428571427,0.029111904999726764,0.029111904999726764,0.029111904999726764,0.017937992745641042,0.04028581725381248,1.5666666666666667,1.0,1.0,1.0,0
nsclc,lapatinib,Lapatinib,nsclc,15,failure,0.0,1.3,1.3,0.004237491427954559,0.004237491427954559,0.004237491427954559,0.01745245142532408,-0.008977468569414957,1.5833333333333333,1.0,1.0,1.0,0
nsclc,mitoxantrone,Mitoxantrone,nsclc,15,failure,0.0,0.0,0.0,0.06087812015306686,0.06087812015306686,0.06087812015306686,0.062233332282526574,0.05894210282526726,1.6666666666666667,1.0,1.0,1.0,0
nsclc,paclitaxel,Paclitaxel,nsclc,15,success,1.0,34.2,34.2,0.04240504916114777,0.04240504916114777,0.04240504916114777,0.03402146431697644,0.050788634005319085,1.6666666666666667,1.0,1.0,1.0,0
nsclc,pemetrexed,Pemetrexed,nsclc,15,success,1.0,10.256410256410255,10.256410256410255,-0.05572058860766989,-0.05572058860766989,-0.05572058860766989,0.02121785007473411,-0.13265902729007387,1.35,1.0,1.0,1.0,0
nsclc,topotecan,Topotecan,nsclc,15,failure,0.0,5.0,5.0,-0.01059137285591738,-0.01059137285591738,-0.01059137285591738,0.008963667189226325,-0.030146412901061077,1.55,1.0,1.0,1.0,0
nsclc,vandetanib,Vandetanib,nsclc,15,failure,0.0,9.054726368159203,9.054726368159203,0.07114347293938018,0.07114347293938018,0.07114347293938018,0.1124350208711581,0.029851925007602257,1.8166666666666667,1.0,1.0,1.0,0
nsclc,volasertib,Volasertib,nsclc,15,failure,0.0,8.1,8.1,0.028620938421948797,0.028620938421948797,0.028620938421948797,0.1363115740743132,-0.07906969723041564,1.6833333333333333,1.0,1.0,1.0,0
ovarian,altretamine,Altretamine,,6,,,45.6140350877193,45.6140350877193,0.11318292119822575,0.11318292119822575,0.11318292119822575,0.0817122465849107,0.15814102778867575,1.9166666666666667,1.0,1.0,1.0,0
ovarian,binimetinib,Binimetinib,ovarian,6,failure,0.0,16.0,,-0.01784227219755036,-0.01784227219755036,-0.01784227219755036,-0.02579472772298155,-0.009889816672119163,1.4166666666666667,1.0,1.0,1.0,0
ovarian,bortezomib,Bortezomib,ovarian,6,failure,0.0,3.8461538461538463,3.8461538461538463,-0.0568850164662752,-0.0568850164662752,-0.0568850164662752,-0.015235740883170847,-0.09853429204937954,1.4166666666666667,1.0,1.0,1.0,0
ovarian,docetaxel,Docetaxel,,6,,,34.78260869565217,34.78260869565217,-0.0024408186081932757,-0.0024408186081932757,-0.0024408186081932757,0.04573996699133979,-0.05062160420772633,1.5,1.0,1.0,1.0,0
ovarian,gemcitabine,Gemcitabine,ovarian,6,success,1.0,11.11111111111111,11.11111111111111,0.021859785734144252,0.021859785734144252,0.021859785734144252,0.046009191688030325,-0.002289620219741814,1.6666666666666667,1.0,1.0,1.0,0
ovarian,olaparib,olaparib,ovarian,6,success,1.0,69.3,,-0.05796586106162089,-0.05796586106162089,-0.05796586106162089,-0.021188657793465043,-0.09474306432977671,1.375,1.0,1.0,1.0,0
ovarian,paclitaxel,Paclitaxel,,6,,,30.0,30.0,-0.09459508168808832,-0.09459508168808832,-0.09459508168808832,0.07406768059440494,-0.26325784397058155,1.375,1.0,1.0,1.0,0
ovarian,pemetrexed,Pemetrexed,ovarian,6,success,1.0,20.833333333333332,20.833333333333332,-0.02004852566372718,-0.02004852566372718,-0.02004852566372718,0.033255459011164994,-0.07335251033861935,1.6666666666666667,1.0,1.0,1.0,0
ovarian,rucaparib,Rucaparib (phosphate),ovarian,6,success,1.0,59.3,,0.05083438422858633,0.05083438422858633,0.05083438422858633,0.008362261907659577,0.09330650654951307,1.6666666666666667,1.0,1.0,1.0,0
ovarian,temsirolimus,Temsirolimus,ovarian,6,failure,0.0,9.25925925925926,9.25925925925926,0.1574781694562104,0.1574781694562104,0.1574781694562104,0.029397283126771385,0.26726178631001524,2.125,1.0,1.0,1.0,0
ovarian,topotecan,Topotecan (hydrochloride),,6,,,26.666666666666668,26.666666666666668,0.038741806323691015,0.038741806323691015,0.038741806323691015,0.017204869428044302,0.06027874321933771,1.75,1.0,1.0,1.0,0
ovarian,trametinib,Trametinib,ovarian,6,success,1.0,25.999999999999996,,0.08687056453151477,0.08687056453151477,0.08687056453151477,0.014946150517669751,0.1587949785453598,1.9166666666666667,1.0,1.0,1.0,0
breast,bortezomib,Bortezomib,breast,13,failure,0.0,0.0,0.0,0.07165232480735553,0.07165232480735553,0.07165232480735553,0.10204170093893773,0.04126294867577333,1.8076923076923077,1.0,1.0,1.0,1
breast,docetaxel,Docetaxel,breast,13,success,1.0,47.8,47.8,0.004293664000671054,0.004293664000671054,0.004293664000671054,0.05636318549764982,-0.047775857496307715,1.5192307692307692,1.0,1.0,1.0,1
