cohort_key,drug_key,drug,cohort,patient_count,label,label_bin,best_available_primary_orr,strict_primary_orr,full_marker_score_coverage_weighted_mean,full_marker_score_mean_tanh_mean,full_marker_score_strict_coverage_mean,full_marker_baseline_score_mean,full_marker_delta_score_mean,full_marker_gene_ordinal_score_mean,full_marker_term_coverage_mean,full_marker_baseline_coverage_mean,full_marker_delta_coverage_mean
breast,bortezomib,Bortezomib,breast,13,failure,0.0,0.0,0.0,0.015346013150214185,0.015940270835601462,0.014773909554947702,0.00010349703830968816,0.03177704463289324,1.6538461538461537,0.926829268292683,0.9629629629629629,0.8571428571428571
breast,docetaxel,Docetaxel,breast,13,success,1.0,47.8,47.8,0.058250060262266416,0.06814064693685885,0.04979508814616608,0.14003545375741966,0.025003762844522374,1.7115384615384615,0.7307692307692307,0.8,0.6363636363636365
breast,doxorubicin,Doxorubicin (hydrochloride),breast,13,success,1.0,33.3,33.3,0.047333201329085056,0.04916612812176148,0.04556860655187649,0.00010349703830968816,0.09822875920521325,1.7307692307692308,0.926829268292683,0.9629629629629629,0.8571428571428571
breast,erlotinib,Erlotinib,breast,13,failure,0.0,2.9999999999999996,2.9999999999999996,0.024031962848690726,0.030634861878852712,0.018852222694678594,0.1279175253312675,-0.0527502782232171,1.5576923076923077,0.6153846153846154,0.6666666666666666,0.5714285714285714
breast,gefitinib,Gefitinib,breast,13,failure,0.0,1.7,1.7,0.01487433786102434,0.01896113475128377,0.011668390616174628,0.1279175253312675,-0.07443005717441657,1.5961538461538463,0.6153846153846154,0.6666666666666666,0.5714285714285714
breast,gemcitabine,Gemcitabine,breast,13,success,1.0,20.2314606741573,20.2314606741573,0.02673973899498818,0.02777520633412571,0.025742874163336024,0.00010349703830968816,0.055446915629941716,1.6538461538461537,0.926829268292683,0.9629629629629629,0.8571428571428571
breast,paclitaxel,Paclitaxel,breast,13,success,1.0,25.0,25.0,0.04582682641566104,0.053608006325945354,0.039175081545883145,0.14003545375741966,0.001751537867060763,1.6346153846153846,0.7307692307692307,0.8,0.6363636363636365
breast,sunitinib,Sunitinib,breast,13,failure,0.0,10.59190031152648,10.59190031152648,0.010384096881644655,0.01323717815763602,0.008145955789314475,0.1279175253312675,-0.08506026227690525,1.5961538461538463,0.6153846153846154,0.6666666666666666,0.5714285714285714
breast,temsirolimus,Temsirolimus,breast,13,failure,0.0,0.0,,-0.030011184140464886,-0.031173334638348125,-0.02889235893310314,0.00010349703830968816,-0.062450166315005926,1.5769230769230769,0.926829268292683,0.9629629629629629,0.8571428571428571
crc,5_fluorouracil,5-Fluorouracil,crc,20,success,1.0,17.3,17.3,0.044537976341579646,0.04703734553992102,0.04217141324268782,0.019990615554204776,0.07408407552563726,1.7625,0.8965517241379309,0.9047619047619048,0.875
crc,bortezomib,Bortezomib,crc,20,failure,0.0,0.0,0.0,0.013686240164879127,0.01445428060854129,0.012959010200761156,0.019990615554204776,0.00891794566287779,1.675,0.8965517241379309,0.9047619047619048,0.875
crc,cabozantinib,Cabozantinib (S-malate),,20,,,2.5,2.5,-0.06324140461983556,-0.06572239556614579,-0.0608540699686535,0.041023928874720186,-0.17246872000701174,1.4625,0.9259259259259259,1.0,0.75
crc,gefitinib,Gefitinib,crc,20,failure,0.0,1.0000000000000002,1.0000000000000002,-0.09647704085036943,-0.10026188191004275,-0.09283507584263219,0.041023928874720186,-0.24154769269480564,1.3625,0.9259259259259259,1.0,0.75
crc,irinotecan,Irinotecan,crc,20,success,1.0,7.0,7.0,0.04514292798856867,0.04767624568742958,0.04274422027148858,0.019990615554204776,0.07536187582065434,1.7375,0.8965517241379309,0.9047619047619048,0.875
crc,oxaliplatin,Oxaliplatin,crc,20,failure,0.0,10.5,10.5,-0.0008186631501713511,-0.0008646046506486739,-0.0007751627902367386,0.019990615554204776,-0.021719824855502112,1.675,0.8965517241379309,0.9047619047619048,0.875
crc,pemetrexed,Pemetrexed,crc,20,failure,0.0,0.0,0.0,0.01185328538497707,0.012518464605585342,0.011223451025697207,0.019990615554204776,0.005046313656965895,1.7,0.8965517241379309,0.9047619047619048,0.875
crc,raltitrexed,Raltitrexed,,20,,,11.11111111111111,11.11111111111111,0.060793266235976376,0.06420484506325494,0.05756296453946994,0.019990615554204776,0.10841907457230507,1.8625,0.8965517241379309,0.9047619047619048,0.875
crc,regorafenib,Regorafenib,crc,20,success,1.0,1.0,1.0,-0.004564274656910128,-0.0058183313852454375,-0.0035805116216895013,0.05979162417406073,-0.062055436150365004,1.5625,0.6153846153846154,0.6666666666666666,0.5714285714285714
crc,sunitinib,Sunitinib,crc,20,failure,0.0,1.1904761904761905,1.1904761904761905,-0.07031167812896899,-0.08963015470326698,-0.055157018278933524,0.05979162417406073,-0.21770596516954782,1.3875,0.6153846153846154,0.6666666666666666,0.5714285714285714
nsclc,docetaxel,Docetaxel,nsclc,15,success,1.0,13.314942528735632,13.314942528735632,0.2345555235333419,0.27084138930377705,0.2031310419778328,-0.007537815056767318,0.5492205936643214,2.283333333333333,0.75,0.85,0.5
nsclc,epirubicin,Epirubicin,nsclc,15,failure,0.0,36.0,36.0,0.17405416620125908,0.18079422467288433,0.1675653789651123,-0.00466419342235338,0.3662526427681219,2.1666666666666665,0.926829268292683,0.9629629629629629,0.8571428571428571
nsclc,erlotinib,Erlotinib,nsclc,15,success,1.0,11.009314975583289,11.009314975583289,-0.021150586943171925,-0.021892937414038544,-0.02043340825310264,0.02706261689257495,-0.07084849172065202,1.4666666666666666,0.9333333333333333,1.0,0.8
nsclc,gefitinib,Gefitinib,nsclc,15,success,1.0,39.233817701453106,39.233817701453106,0.010705394013611456,0.011081135561974622,0.010342393191176313,0.02706261689257495,-0.004900345768625714,1.6,0.9333333333333333,1.0,0.8
nsclc,gemcitabine,Gemcitabine,nsclc,15,success,1.0,0.0,0.0,0.03298873442475011,0.03426618732220407,0.03175890532301841,-0.00466419342235338,0.0731965680667615,1.7166666666666666,0.926829268292683,0.9629629629629629,0.8571428571428571
nsclc,idarubicin,Idarubicin,nsclc,15,failure,0.0,0.0,0.0,0.21067229754929173,0.218830353370788,0.2028183762948767,-0.00466419342235338,0.4423249001639293,2.2333333333333334,0.926829268292683,0.9629629629629629,0.8571428571428571
nsclc,irinotecan,Irinotecan,nsclc,15,success,1.0,21.428571428571427,21.428571428571427,0.05450851772285716,0.056619300846708756,0.05247642517499836,-0.00466419342235338,0.11790279511577088,1.7833333333333334,0.926829268292683,0.9629629629629629,0.8571428571428571
nsclc,lapatinib,Lapatinib,nsclc,15,failure,0.0,1.3,1.3,-0.02986223741795784,-0.03308208594979725,-0.026955773736871833,0.0038097658348963874,-0.06997393773449087,1.4333333333333333,0.8148148148148148,0.8235294117647058,0.8
nsclc,mitoxantrone,Mitoxantrone,nsclc,15,failure,0.0,0.0,0.0,0.1518022441004873,0.15768062106607014,0.1461430146466016,-0.00466419342235338,0.32002543555449364,2.066666666666667,0.926829268292683,0.9629629629629629,0.8571428571428571
nsclc,paclitaxel,Paclitaxel,nsclc,15,success,1.0,34.2,34.2,0.11984492190537861,0.13838499584616004,0.10378874688462005,-0.007537815056767318,0.28430780674908734,2.0,0.75,0.85,0.5
nsclc,pemetrexed,Pemetrexed,nsclc,15,success,1.0,10.256410256410255,10.256410256410255,0.06698514907493566,0.06957907619170199,0.064487924275236,-0.00466419342235338,0.14382234580575737,1.8,0.926829268292683,0.9629629629629629,0.8571428571428571
nsclc,topotecan,Topotecan,nsclc,15,failure,0.0,5.0,5.0,0.10535933363419041,0.10943925935343342,0.10143150866903586,-0.00466419342235338,0.2235427121292202,1.9166666666666667,0.926829268292683,0.9629629629629629,0.8571428571428571
