analysis,slice,score_col,target,n,pearson,spearman,auc_high,success_mean,failure_mean
real,all,full_marker_score_coverage_weighted_mean,label_bin,39,-0.2622125725052721,-0.23245945048950722,0.36578947368421055,0.01540671204921274,0.06575028880092632
real,all,full_marker_score_coverage_weighted_mean,best_available_primary_orr,45,-0.01806236423884637,-0.03009608333857784,,,
real,all,full_marker_score_mean_tanh_mean,label_bin,39,-0.2750930722135025,-0.22790142204853647,0.3684210526315789,0.017714308917665348,0.07786714299956998
real,all,full_marker_score_mean_tanh_mean,best_available_primary_orr,45,-0.0354662792750204,-0.03319809192829968,,,
real,all,full_marker_score_strict_coverage_mean,label_bin,39,-0.24880282791655312,-0.22790142204853647,0.3684210526315789,0.0134032780340507,0.0556984506942609
real,all,full_marker_score_strict_coverage_mean,best_available_primary_orr,45,-0.001670533422743009,-0.029172080779937288,,,
real,all,full_marker_baseline_score_mean,label_bin,39,-0.39817878367117165,-0.34655049377049946,0.3,0.016570234959349377,0.04889476417649558
real,all,full_marker_baseline_score_mean,best_available_primary_orr,45,-0.37518220422869764,-0.3295706256255203,,,
real,all,full_marker_delta_score_mean,label_bin,39,-0.1883665885499701,-0.168647052315917,0.4026315789473684,0.022401022886345448,0.10079973227167985
real,all,full_marker_delta_score_mean,best_available_primary_orr,45,0.05966873653619527,0.03927010874222328,,,
real,all,full_marker_gene_ordinal_score_mean,label_bin,39,-0.25289025869318005,-0.2051632001786098,0.3815789473684211,1.624814439946019,1.767900641025641
real,all,full_marker_gene_ordinal_score_mean,best_available_primary_orr,45,-0.02189480237748309,-0.006469936160116385,,,
real,all,full_marker_gene_ordinal_score_from_cohort_mean,label_bin,39,-0.34466917654239926,-0.3224636285375293,0.32763157894736844,1.5921052631578947,1.8125
real,all,full_marker_gene_ordinal_score_from_cohort_mean,best_available_primary_orr,45,-0.07567309768305328,-0.06207857115150426,,,
real,all,full_marker_prior_adjusted_ordinal_score,label_bin,39,0.5476055138588118,0.5202325869309946,0.7934210526315789,2.6973684210526314,1.875
real,all,full_marker_prior_adjusted_ordinal_score,best_available_primary_orr,45,0.4046893790561038,0.49130206839202184,,,
real,all,full_marker_delta_ordinal_score_from_cohort_mean,label_bin,39,-0.1709914211165906,-0.11500238508471657,0.4355263157894737,1.6578947368421053,1.8375
real,all,full_marker_delta_ordinal_score_from_cohort_mean,best_available_primary_orr,45,0.011216063830806554,0.06270455919441259,,,
real,all,full_marker_delta_prior_adjusted_ordinal_score,label_bin,39,0.5532595398568013,0.5055213929734179,0.7868421052631579,2.6973684210526314,1.9125
real,all,full_marker_delta_prior_adjusted_ordinal_score,best_available_primary_orr,45,0.4058416967721227,0.5183877400951749,,,
real,all,predicted_orr_soft_probability_pct,label_bin,39,0.426631545084755,0.41933861656930715,0.7421052631578947,22.408086343093895,11.711216216048058
real,all,predicted_orr_soft_probability_pct,best_available_primary_orr,45,0.5043164166844802,0.5338094781631963,,,
real,all,atlas_prior_score,label_bin,39,0.5546204649175868,0.5481978630582677,0.8026315789473685,2.736842105263158,1.9
real,all,atlas_prior_score,best_available_primary_orr,45,0.3635863101927136,0.44466190533603245,,,
real,breast,full_marker_score_coverage_weighted_mean,label_bin,9,-0.6677820922084027,-0.6928203230275509,0.1,0.019569963554506,0.05973232322220303
real,breast,full_marker_score_coverage_weighted_mean,best_available_primary_orr,9,-0.7453458255843632,-0.8619322310183947,,,
real,breast,full_marker_score_mean_tanh_mean,label_bin,9,-0.659393358174599,-0.6928203230275509,0.1,0.021117104997302225,0.0696575133590465
real,breast,full_marker_score_mean_tanh_mean,best_available_primary_orr,9,-0.7233373993378731,-0.8619322310183947,,,
real,breast,full_marker_score_strict_coverage_mean,label_bin,9,-0.6674228162757212,-0.6928203230275509,0.1,0.01814644187749951,0.05150720767606483
real,breast,full_marker_score_strict_coverage_mean,best_available_primary_orr,9,-0.7596102143182077,-0.8954053273686237,,,
real,breast,full_marker_baseline_score_mean,label_bin,9,-0.4613233502756251,-0.17466675292187459,0.4,0.029869239320409854,0.0861674551887776
real,breast,full_marker_baseline_score_mean,best_available_primary_orr,9,-0.40859547125810486,-0.27848349164780534,,,
real,breast,full_marker_delta_score_mean,label_bin,9,-0.5142583149146428,-0.34641016151377546,0.3,0.012364970674194587,0.06104327788408999
real,breast,full_marker_delta_score_mean,best_available_primary_orr,9,-0.6479843494651361,-0.5355695416036628,,,
real,breast,full_marker_gene_ordinal_score_mean,label_bin,9,-0.6992083848587782,-0.6986670116874983,0.1,1.610576923076923,1.730769230769231
real,breast,full_marker_gene_ordinal_score_mean,best_available_primary_orr,9,-0.7377090291948785,-0.8607671560023074,,,
real,breast,full_marker_gene_ordinal_score_from_cohort_mean,label_bin,9,-0.7999999999999999,-0.7999999999999999,0.1,1.5,1.9
real,breast,full_marker_gene_ordinal_score_from_cohort_mean,best_available_primary_orr,9,-0.7048970809061534,-0.7826908981308054,,,
real,breast,full_marker_prior_adjusted_ordinal_score,label_bin,9,0.8451542547285167,0.9214426752509267,1.0,3.0,1.5
real,breast,full_marker_prior_adjusted_ordinal_score,best_available_primary_orr,9,0.7686411690356081,0.7924348982848123,,,
real,breast,full_marker_delta_ordinal_score_from_cohort_mean,label_bin,9,-0.47809144373375745,-0.4780914437337574,0.3,1.5,1.7
real,breast,full_marker_delta_ordinal_score_from_cohort_mean,best_available_primary_orr,9,-0.49520795562332703,-0.5716911161570706,,,
real,breast,full_marker_delta_prior_adjusted_ordinal_score,label_bin,9,0.8451542547285167,0.9214426752509267,1.0,3.0,1.5
real,breast,full_marker_delta_prior_adjusted_ordinal_score,best_available_primary_orr,9,0.7686411690356081,0.7924348982848123,,,
real,breast,predicted_orr_soft_probability_pct,label_bin,9,0.7215268365946571,0.7794228634059946,0.95,26.949189012731694,5.014507590128953
real,breast,predicted_orr_soft_probability_pct,best_available_primary_orr,9,0.818885088922447,0.8954053273686237,,,
real,breast,atlas_prior_score,label_bin,9,0.8451542547285167,0.9214426752509267,1.0,3.0,1.5
real,breast,atlas_prior_score,best_available_primary_orr,9,0.7686411690356081,0.7924348982848123,,,
real,crc,full_marker_score_coverage_weighted_mean,label_bin,8,-0.39866220067129654,-0.2817180849095055,0.3333333333333333,-0.01860673853620033,0.05660498901111112
real,crc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,10,-0.5501977081232287,-0.6139845991168652,,,
real,crc,full_marker_score_mean_tanh_mean,label_bin,8,-0.3766977330127782,-0.2817180849095055,0.3333333333333333,-0.016474098589503678,0.06610473798604954
real,crc,full_marker_score_mean_tanh_mean,best_available_primary_orr,10,-0.5346169734286743,-0.6139845991168652,,,
real,crc,full_marker_score_strict_coverage_mean,label_bin,8,-0.41934279959540743,-0.2817180849095055,0.3333333333333333,-0.020237568786346978,0.04903633305644359
real,crc,full_marker_score_strict_coverage_mean,best_available_primary_orr,10,-0.56225769519668,-0.6139845991168652,,,
real,crc,full_marker_baseline_score_mean,label_bin,8,0.08546691247574477,0.2817180849095055,0.6666666666666666,0.030135279567202453,0.027338843478529586
real,crc,full_marker_baseline_score_mean,best_available_primary_orr,10,0.32009126767134866,0.2492412729088265,,,
real,crc,full_marker_delta_score_mean,label_bin,8,-0.34635244280360034,-0.39440531887330776,0.26666666666666666,-0.04064675668057025,0.10779309487124906
real,crc,full_marker_delta_score_mean,best_available_primary_orr,10,-0.5842948087267272,-0.6808542089216724,,,
real,crc,full_marker_gene_ordinal_score_mean,label_bin,8,-0.4092671585939527,-0.50709255283711,0.2,1.5291666666666668,1.7725000000000002
