cohort_key,drug_key,drug,cohort,patient_count,label,label_bin,best_available_primary_orr,strict_primary_orr,full_marker_score_coverage_weighted_mean,full_marker_score_mean_tanh_mean,full_marker_score_strict_coverage_mean,full_marker_baseline_score_mean,full_marker_delta_score_mean,full_marker_gene_ordinal_score_mean,full_marker_term_coverage_mean,full_marker_baseline_coverage_mean,full_marker_delta_coverage_mean
breast,bortezomib,Bortezomib,breast,13,failure,0.0,0.0,0.0,0.08919162219880887,0.11369745551018046,0.06996766492934182,0.1279175253312675,0.10150882423496298,1.8076923076923077,0.6153846153846154,0.6666666666666666,0.5714285714285714
breast,docetaxel,Docetaxel,breast,13,success,1.0,47.8,47.8,0.004281831827293445,0.0047435135736988,0.003865085134124945,0.01682527160828977,-0.007338244460892178,1.5769230769230769,0.8148148148148148,0.8235294117647058,0.8
breast,doxorubicin,Doxorubicin (hydrochloride),breast,13,success,1.0,33.3,33.3,0.005497044345246509,0.005689981471248386,0.00531064937316516,0.04833447333626481,-0.03695451039376804,1.5769230769230769,0.9333333333333333,1.0,0.8
breast,erlotinib,Erlotinib,breast,13,failure,0.0,2.9999999999999996,2.9999999999999996,0.010724187808606261,0.011139470329376937,0.010324387134544479,0.00010349703830968816,0.022175443620444175,1.6153846153846154,0.926829268292683,0.9629629629629629,0.8571428571428571
breast,gefitinib,Gefitinib,breast,13,failure,0.0,1.7,1.7,0.0602348101872771,0.06256733776504306,0.05798923987979601,0.00010349703830968816,0.12503117849177642,1.6730769230769231,0.926829268292683,0.9629629629629629,0.8571428571428571
breast,gemcitabine,Gemcitabine,breast,13,success,1.0,20.2314606741573,20.2314606741573,0.039269195033303,0.04165127114967847,0.03702335213304752,0.03749194072879507,0.04581060157056184,1.6538461538461537,0.8888888888888888,0.9047619047619049,0.8333333333333334
breast,paclitaxel,Paclitaxel,breast,13,success,1.0,25.0,25.0,0.029231783012181038,0.03238365379458325,0.02638668086966042,0.01682527160828977,0.04794203598087673,1.6346153846153846,0.8148148148148148,0.8235294117647058,0.8
breast,sunitinib,Sunitinib,breast,13,failure,0.0,10.59190031152648,10.59190031152648,0.06257676834211237,0.07320200972927851,0.0534937763406266,0.14003545375741966,0.033101943312393814,1.75,0.7307692307692307,0.8,0.6363636363636365
breast,temsirolimus,Temsirolimus,breast,13,failure,0.0,0.0,,0.07593422757421059,0.08768129346135359,0.0657609700960152,0.16267730277858147,0.023398999760872556,1.8076923076923077,0.75,0.7272727272727273,1.0
crc,5_fluorouracil,5-Fluorouracil,crc,20,success,1.0,17.3,17.3,-0.08940593483562395,-0.09291337298009573,-0.08603090090749604,0.041023928874720186,-0.2268506748349116,1.325,0.9259259259259259,1.0,0.75
crc,bortezomib,Bortezomib,crc,20,failure,0.0,0.0,0.0,0.17950449684186845,0.2288242330435854,0.1408149126422064,0.05979162417406073,0.3737093263603208,2.1625,0.6153846153846154,0.6666666666666666,0.5714285714285714
crc,cabozantinib,Cabozantinib (S-malate),,20,,,2.5,2.5,0.11637752958734773,0.12290836993354752,0.11019371097490467,0.019990615554204776,0.2258261243128902,1.9375,0.8965517241379309,0.9047619047619048,0.875
crc,gefitinib,Gefitinib,crc,20,failure,0.0,1.0000000000000002,1.0000000000000002,0.1351692646383837,0.14040354754647477,0.13013011723819615,0.012053131555244697,0.26875396353770487,1.975,0.9268292682926831,0.962962962962963,0.8571428571428571
crc,irinotecan,Irinotecan,crc,20,success,1.0,7.0,7.0,-0.03466612482358068,-0.036541304031405895,-0.03288717362826531,0.03665968878081526,-0.10974229684362705,1.425,0.9,0.95,0.8
crc,oxaliplatin,Oxaliplatin,crc,20,failure,0.0,10.5,10.5,0.06390745957052182,0.07171485594785111,0.05695003266447,0.012679415278284142,0.13075029661741805,1.825,0.7941176470588235,0.8400000000000001,0.6666666666666666
crc,pemetrexed,Pemetrexed,crc,20,failure,0.0,0.0,0.0,-0.03794609405149248,-0.043026826322792776,-0.03346530936217216,0.022662598066961706,-0.10871625071254724,1.4625,0.7777777777777778,0.7727272727272727,0.8
crc,raltitrexed,Raltitrexed,,20,,,11.11111111111111,11.11111111111111,-0.06883689428068125,-0.07610205002079375,-0.06226531365337671,0.07012573292991009,-0.22232983297149755,1.5,0.8181818181818181,0.8823529411764707,0.6
crc,regorafenib,Regorafenib,crc,20,success,1.0,1.0,1.0,0.06825184405060365,0.08003238124299059,0.058205368176720416,0.012722221046071921,0.21465270163682787,1.8375,0.7272727272727273,0.8235294117647058,0.4
crc,sunitinib,Sunitinib,crc,20,failure,0.0,1.1904761904761905,1.1904761904761905,-0.05761018194372593,-0.06739212028487078,-0.04924808790048248,0.02950744831809664,-0.1255318614466512,1.4375,0.7307692307692307,0.8,0.6363636363636364
nsclc,docetaxel,Docetaxel,nsclc,15,success,1.0,13.314942528735632,13.314942528735632,0.01606971419238318,0.017802405715969707,0.014505663916716057,0.0038097658348963874,0.03179504559704302,1.5666666666666667,0.8148148148148148,0.8235294117647058,0.8
nsclc,epirubicin,Epirubicin,nsclc,15,failure,0.0,36.0,36.0,-0.03202486544619491,-0.03314888503048819,-0.030938959361788976,0.02706261689257495,-0.09336038695355131,1.4,0.9333333333333333,1.0,0.8
nsclc,erlotinib,Erlotinib,nsclc,15,success,1.0,11.009314975583289,11.009314975583289,0.08452120328397779,0.08779419504659619,0.08137022955538184,-0.00466419342235338,0.1802525835155457,1.9,0.926829268292683,0.9629629629629629,0.8571428571428571
nsclc,gefitinib,Gefitinib,nsclc,15,success,1.0,39.233817701453106,39.233817701453106,0.11943652295169853,0.1240615725320184,0.11498389649309022,-0.00466419342235338,0.2527873384863901,1.9666666666666666,0.926829268292683,0.9629629629629629,0.8571428571428571
nsclc,gemcitabine,Gemcitabine,nsclc,15,success,1.0,0.0,0.0,-0.10287588352026236,-0.10911635228660235,-0.09699231314364654,0.023347198381974407,-0.24157990295517912,1.3,0.8888888888888888,0.9047619047619048,0.8333333333333334
nsclc,idarubicin,Idarubicin,nsclc,15,failure,0.0,0.0,0.0,-0.018624519248574837,-0.01927820893912536,-0.017992995009850337,0.02706261689257495,-0.06561903477082566,1.4666666666666666,0.9333333333333333,1.0,0.8
nsclc,irinotecan,Irinotecan,nsclc,15,success,1.0,21.428571428571427,21.428571428571427,-0.009100785991283496,-0.009593070743403043,-0.008633763669062738,0.027396881950427176,-0.046583023437233265,1.5166666666666666,0.9,0.95,0.8
nsclc,lapatinib,Lapatinib,nsclc,15,failure,0.0,1.3,1.3,0.10081735667704343,0.1164138560329551,0.08731039202471631,-0.007537815056767318,0.24036552712267747,1.85,0.75,0.85,0.5
nsclc,mitoxantrone,Mitoxantrone,nsclc,15,failure,0.0,0.0,0.0,-0.13197292573668035,-0.13715028755966682,-0.1269910069996915,0.024016929243402294,-0.36738916870690835,1.25,0.9259259259259259,1.0,0.7777777777777778
nsclc,paclitaxel,Paclitaxel,nsclc,15,success,1.0,34.2,34.2,-0.012355781595681776,-0.013688024209447222,-0.011153204911401437,0.0038097658348963874,-0.031185814253790824,1.4666666666666666,0.8148148148148148,0.8235294117647058,0.8
nsclc,pemetrexed,Pemetrexed,nsclc,15,success,1.0,10.256410256410255,10.256410256410255,0.012493934995307125,0.014166790668938396,0.011018614964729865,0.010830427594453984,0.017503153743422803,1.5833333333333333,0.7777777777777778,0.7727272727272727,0.8
nsclc,topotecan,Topotecan,nsclc,15,failure,0.0,5.0,5.0,-0.07071313872118432,-0.07453819295279625,-0.06708437365751663,0.027396881950427176,-0.17647326785601966,1.4166666666666667,0.9,0.95,0.8
nsclc,vandetanib,Vandetanib,nsclc,15,failure,0.0,9.054726368159203,9.054726368159203,0.18496935451915467,0.20788760762407746,0.1645776893690613,0.10707658433779267,0.30869863091036215,2.2,0.7916666666666666,0.8235294117647058,0.7142857142857143
nsclc,volasertib,Volasertib,nsclc,15,failure,0.0,8.1,8.1,0.0694676530356731,0.07148162525273187,0.06751042384980231,0.08069220962303808,0.04077967735171119,1.8,0.9444444444444444,1.0,0.6666666666666666
ovarian,altretamine,Altretamine,,6,,,45.6140350877193,45.6140350877193,0.22590792153387487,0.24855275276883784,0.20532618706990954,0.017144738136361967,0.5791356308152319,2.2083333333333335,0.8260869565217391,0.9,0.3333333333333333
ovarian,binimetinib,Binimetinib,ovarian,6,failure,0.0,16.0,,0.07660826812999581,0.08686561107571034,0.06756214194777471,0.05486053619453301,0.11887068595688766,1.7083333333333333,0.7777777777777778,0.8095238095238096,0.7333333333333333
ovarian,bortezomib,Bortezomib,ovarian,6,failure,0.0,3.8461538461538463,3.8461538461538463,0.1614254023060899,0.20577781908707948,0.1266325040535874,0.022341983271765592,0.3630085355002057,2.1666666666666665,0.6153846153846154,0.6666666666666666,0.5714285714285714
ovarian,docetaxel,Docetaxel,,6,,,34.78260869565217,34.78260869565217,-0.031193988736290135,-0.03455743124828219,-0.02815790694304474,-0.061792010388983826,-0.007322852107580536,1.5833333333333333,0.8148148148148148,0.823529411764706,0.8000000000000002
ovarian,gemcitabine,Gemcitabine,ovarian,6,success,1.0,11.11111111111111,11.11111111111111,-0.08551013416892998,-0.09069719359653283,-0.0806197276413625,0.00939583725211654,-0.19079022444518215,1.3333333333333333,0.8888888888888888,0.9047619047619048,0.8333333333333334
ovarian,olaparib,olaparib,ovarian,6,success,1.0,69.3,,0.030207727624329814,0.03436409701397954,0.026554074965347826,-0.01620802043943453,0.08493621446739362,1.7083333333333333,0.7727272727272728,0.923076923076923,0.5555555555555556
ovarian,paclitaxel,Paclitaxel,,6,,,30.0,30.0,0.05864971492926018,0.06497352770539919,0.052941392945140074,-0.061792010388983826,0.19173906579978225,1.75,0.8148148148148148,0.823529411764706,0.8000000000000002
ovarian,pemetrexed,Pemetrexed,ovarian,6,success,1.0,20.833333333333332,20.833333333333332,0.13425906931467235,0.15223547514068833,0.11840536955386871,0.013245682924669313,0.29122526735670734,2.0,0.7777777777777778,0.7727272727272728,0.8000000000000002
ovarian,rucaparib,Rucaparib (phosphate),ovarian,6,success,1.0,59.3,,-0.0151325045456238,-0.01721463000253862,-0.013302214092870752,-0.01620802043943453,-0.0182212395656427,1.5833333333333333,0.7727272727272728,0.923076923076923,0.5555555555555556
ovarian,temsirolimus,Temsirolimus,ovarian,6,failure,0.0,9.25925925925926,9.25925925925926,0.3933666293366332,0.4542206586754418,0.3406654940065814,0.04739124684403414,0.8029315831023626,2.5833333333333335,0.75,0.7272727272727272,1.0
ovarian,topotecan,Topotecan (hydrochloride),,6,,,26.666666666666668,26.666666666666668,0.030650824173740834,0.03230880551678986,0.02907792496511087,0.014029625859621133,0.05058798517395857,1.6666666666666667,0.9,0.9499999999999998,0.8000000000000002
ovarian,trametinib,Trametinib,ovarian,6,success,1.0,25.999999999999996,,0.09825480778503165,0.11141047993527721,0.0866525955052156,0.05486053619453301,0.16796042367602138,1.9166666666666667,0.7777777777777778,0.8095238095238096,0.7333333333333333
