atlas_row_index,nct_id,source_url,api_url,brief_title,tissue_type,line_of_therapy,biomarker,arm_group_id,ctgov_result_group_ids,ctgov_result_group_titles,arm_title,arm_description,interventions,regimen,therapy_class,is_combination,orr_pct,orr_n,orr_denom,orr_endpoint_title,orr_time_frame,model_orr_pct,model_orr_pct_source,model_orr_pct_pmid,pubmed_orr_pct,pubmed_orr_pct_pmid,used_by_n_target_rows,used_as_support_cells,target_surface_pair_ids,ctgov_audit_status,ctgov_verified_orr_pct,ctgov_value_delta,ctgov_outcome_title,ctgov_outcome_type,ctgov_outcome_time_frame,ctgov_param_type,ctgov_unit_of_measure,ctgov_class_title,ctgov_category_title,ctgov_group_id,ctgov_group_title,ctgov_measurement_value,ctgov_measurement_denominator,ctgov_measurement_pct,ctgov_lower_limit,ctgov_upper_limit,ctgov_citation,ctgov_api_citation,ctgov_retrieved_date,ctgov_audit_note
314,NCT00453895,https://clinicaltrials.gov/study/NCT00453895,https://clinicaltrials.gov/api/v2/studies/NCT00453895,Sunitinib in Refractory Adrenocortical Carcinoma,adrenal_paraganglioma,1L,no,OG000,OG000,Sunitinib,Sunitinib,Sunitinib will be administered 50 mg per day for 4 weeks followed by 2 weeks off. treatment will continue until progressive disease or unacceptable toxicity,Sunitinib,Sunitinib | Sunitinib will be administered 50 mg per day for 4 weeks followed by 2 weeks off. treatment will continue until progressive disease or unacceptable toxicity,targeted_therapy,False,0,0,35,Assessment of Objective Response Rates,12 weeks,0,ctgov,,,,27,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,ctgov_verified_match,0.0,0.0,Assessment of Objective Response Rates,SECONDARY,12 weeks,COUNT_OF_PARTICIPANTS,Participants,,,OG000,Sunitinib,0,35.0,0.0,,,https://clinicaltrials.gov/study/NCT00453895,https://clinicaltrials.gov/api/v2/studies/NCT00453895,2026-06-03,
393,NCT03691207,https://clinicaltrials.gov/study/NCT03691207,https://clinicaltrials.gov/api/v2/studies/NCT03691207,A Study Of AL101In Patients With Adenoid Cystic Carcinoma (ACC) Bearing Activating Notch Mutations,adenoid_cystic,1L,no,OG000,OG000,Cohort 1 - AL101 4mg,Cohort 1 - AL101 4mg,AL101 4 mg once weekly (QW) intravenously (IV),AL101,Cohort 1 - AL101 4mg | AL101 4 mg once weekly (QW) intravenously (IV) | AL101,targeted_therapy,False,7.31707,3,41,Overall Response Rate (ORR),3 years and 7 months,7.31707,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,7.317073170731707,3.170731706525487e-06,Overall Response Rate (ORR),PRIMARY,3 years and 7 months,COUNT_OF_PARTICIPANTS,Participants,,,OG000,Cohort 1 - AL101 4mg,3,41.0,7.317073170731707,,,https://clinicaltrials.gov/study/NCT03691207,https://clinicaltrials.gov/api/v2/studies/NCT03691207,2026-06-03,
394,NCT03691207,https://clinicaltrials.gov/study/NCT03691207,https://clinicaltrials.gov/api/v2/studies/NCT03691207,A Study Of AL101In Patients With Adenoid Cystic Carcinoma (ACC) Bearing Activating Notch Mutations,adenoid_cystic,1L,no,OG001,OG001,Cohort 2 - AL101 6mg,Cohort 2 - AL101 6mg,AL101 6 mg once weekly (QW) intravenously (IV),AL101,Cohort 2 - AL101 6mg | AL101 6 mg once weekly (QW) intravenously (IV) | AL101,targeted_therapy,False,5.55556,2,36,Overall Response Rate (ORR),3 years and 7 months,5.55556,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,5.555555555555555,-4.444444444473561e-06,Overall Response Rate (ORR),PRIMARY,3 years and 7 months,COUNT_OF_PARTICIPANTS,Participants,,,OG001,Cohort 2 - AL101 6mg,2,36.0,5.555555555555555,,,https://clinicaltrials.gov/study/NCT03691207,https://clinicaltrials.gov/api/v2/studies/NCT03691207,2026-06-03,
582,NCT00453310,https://clinicaltrials.gov/study/NCT00453310,https://clinicaltrials.gov/api/v2/studies/NCT00453310,Sunitinib in Treating Patients With Metastatic Germ Cell Tumors That Have Relapsed or Not Responded to Treatment,ovarian_fallopian_peritoneal,2L+,no,OG000,OG000,Sunitinib Malate,sunitinib malate,The dose of sunitinib malate will be a continuous daily dose of 37.5 mg administered orally for 6 weeks. The cycle of therapy is 42 days (or 6 weeks),sunitinib malate,sunitinib malate | The dose of sunitinib malate will be a continuous daily dose of 37.5 mg administered orally for 6 weeks. The cycle of therapy is 42 days (or 6 weeks),targeted_therapy,False,30,3,10,Confirmed Objective Response Rate (Complete and Partial Response) as Measured by RECIST Criteria After 2 Courses of Treatment,2 years,30,ctgov,,,,28,disease_therapy;fallback_disease_baseline;global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::mifepristone;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,ctgov_no_matching_orr_measurement,,,,,,,,,,,,,,,,,https://clinicaltrials.gov/study/NCT00453310,https://clinicaltrials.gov/api/v2/studies/NCT00453310,2026-06-03,
625,NCT01876043,https://clinicaltrials.gov/study/NCT01876043,https://clinicaltrials.gov/api/v2/studies/NCT01876043,"Efficacy and Safety of Plitidepsin in Patients With Advanced Unresectable or Metastatic, Relapsed/Refractory, Dedifferentiated Liposarcoma (DLPS): an Exploratory Phase II Multicenter Trial",sarcoma_gist_bone,2L+,no,OG000,OG000,Plitidepsin,plitidepsin,plitidepsin,plitidepsin,plitidepsin,chemotherapy,False,0,0,22,Percentage of Patients With Objective Response at Six Months (as Per RECIST v1.1),6 months,0,ctgov,,,,29,fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::topotecan;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone,ctgov_verified_match,0.0,0.0,Percentage of Patients With Objective Response at Six Months (as Per RECIST v1.1),SECONDARY,6 months,NUMBER,percentage of participants,,,OG000,Plitidepsin,0,22.0,0.0,0,0,https://clinicaltrials.gov/study/NCT01876043,https://clinicaltrials.gov/api/v2/studies/NCT01876043,2026-06-03,
751,NCT00654238,https://clinicaltrials.gov/study/NCT00654238,https://clinicaltrials.gov/api/v2/studies/NCT00654238,Phase II Trial of Sorafenib (Nexavar) in Patients With Advanced Thyroid Cancer,thyroid,1L,no,OG000__sorafenib_8879c49a,OG000,Sorafenib,Sorafenib,This is a single arm study. sorafenib: 400mg PO BID daily,sorafenib,Sorafenib | This is a single arm study. sorafenib: 400mg PO BID daily | sorafenib,targeted_therapy,False,29.0909,16,55,To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.,"From date of randomization until the date of first documented progression or date of death from any cause, whichever came first, assessed up to 60 months",29.0909,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,29.09090909090909,9.090909088627086e-06,To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.,PRIMARY,"From date of randomization until the date of first documented progression or date of death from any cause, whichever came first, assessed up to 60 months",COUNT_OF_PARTICIPANTS,Participants,Differentiated,Partial response,OG000,Sorafenib,16,55.0,29.09090909090909,,,https://clinicaltrials.gov/study/NCT00654238,https://clinicaltrials.gov/api/v2/studies/NCT00654238,2026-06-03,
943,NCT01246986,https://clinicaltrials.gov/study/NCT01246986,https://clinicaltrials.gov/api/v2/studies/NCT01246986,A Study of LY2157299 in Participants With Hepatocellular Carcinoma,liver_hcc,maintenance,no,OG000__part_a_cohort_1_160_mg_ly2157299_a6bcba8c,OG000,Part A Cohort 1 - 160 mg LY2157299,Part A Cohort 1 - 160 mg LY2157299,80 mg LY2157299 given orally BID for 14 days followed by 14 days off (28-day cycle) for Cohort 1.,LY2157299,Part A Cohort 1 - 160 mg LY2157299 | 80 mg LY2157299 given orally BID for 14 days followed by 14 days off (28-day cycle) for Cohort 1. | LY2157299,targeted_therapy,False,0,0,30,Percentage of Participants Achieving an Objective Response (Response Rate),Randomization to measured progressive disease (Up to 36 Weeks),0,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,0.0,0.0,Percentage of Participants Achieving an Objective Response (Response Rate),SECONDARY,Randomization to measured progressive disease (Up to 36 Weeks),NUMBER,percentage of participants,Complete Response,,OG000,Part A Cohort 1 - 160 mg LY2157299,0,30.0,0.0,,,https://clinicaltrials.gov/study/NCT01246986,https://clinicaltrials.gov/api/v2/studies/NCT01246986,2026-06-03,
947,NCT01246986,https://clinicaltrials.gov/study/NCT01246986,https://clinicaltrials.gov/api/v2/studies/NCT01246986,A Study of LY2157299 in Participants With Hepatocellular Carcinoma,liver_hcc,maintenance,no,OG002__p002,OG002,Part B - 300 mg LY2157299,Part B - 300 mg LY2157299,"150 mg LY2157299 given orally BID for 14 days followed by 14 days off (28-day cycle). Participants will continue to receive until disease progression, unacceptable toxicity, or another withdrawal criterion is met.",LY2157299,"Part B - 300 mg LY2157299 | 150 mg LY2157299 given orally BID for 14 days followed by 14 days off (28-day cycle). Participants will continue to receive until disease progression, unacceptable toxicity, or another withdrawal criterion is met. | LY2157299",targeted_therapy,False,13.7037,3.7,27,Percentage of Participants Achieving an Objective Response (Response Rate),Randomization to measured progressive disease (Up to 36 Weeks),13.7037,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,13.703703703703704,3.703703704616146e-06,Percentage of Participants Achieving an Objective Response (Response Rate),SECONDARY,Randomization to measured progressive disease (Up to 36 Weeks),NUMBER,percentage of participants,Aggregate response categories,Complete Response; Partial Response,OG002,Part B - 300 mg LY2157299,3.7,27.0,13.703703703703704,,,https://clinicaltrials.gov/study/NCT01246986,https://clinicaltrials.gov/api/v2/studies/NCT01246986,2026-06-03,
1131,NCT01259869,https://clinicaltrials.gov/study/NCT01259869,https://clinicaltrials.gov/api/v2/studies/NCT01259869,A Study of PX-866 in Patients With Glioblastoma Multiforme at Time of First Relapse or Progression,glioma_brain,adjuvant,no,OG000,OG000,PX-866,PX-866,PX-866: 1 cycle = 8 weeks on study PX-866 - 8mg PO Daily,PX-866,PX-866 | PX-866: 1 cycle = 8 weeks on study PX-866 - 8mg PO Daily,targeted_therapy,False,3.0303,1,33,Objective Response Rate,18 months,3.0303,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,3.0303030303030303,3.0303030302825107e-06,Objective Response Rate,PRIMARY,18 months,COUNT_OF_PARTICIPANTS,Participants,,,OG000,PX-866,1,33.0,3.0303030303030303,,,https://clinicaltrials.gov/study/NCT01259869,https://clinicaltrials.gov/api/v2/studies/NCT01259869,2026-06-03,
1390,NCT00389441,https://clinicaltrials.gov/study/NCT00389441,https://clinicaltrials.gov/api/v2/studies/NCT00389441,Study Of AG-013736 In Patients With 131I-Refractory Thyroid Cancer,thyroid,2L+,no,OG000,OG000,Axitinib,Axitinib,"Axitinib (AG-013736) tablet 5 milligram (mg) orally twice daily continuously in 28-day cycles until tumor progression, unmanageable toxicity, or withdrawal of consent occurred. Dose was increased (to 7 mg or 10 mg twice daily) or decreased (to 3 mg or 2 mg twice daily) based on the tolerability.",AG-013736,"Axitinib | Axitinib (AG-013736) tablet 5 milligram (mg) orally twice daily continuously in 28-day cycles until tumor progression, unmanageable toxicity, or withdrawal of consent occurred. Dose was increased (to 7 mg or 10 mg twice daily) or decreased (to 3 mg or 2 mg twice daily) based on the tolerability. | AG-013736",targeted_therapy,False,34.6,34.6,52,Percentage of Participants With Objective Response (OR),"Baseline until disease progression or initiation of antitumor therapy or death due to any cause, assessed every 8 weeks up to 28 days after last dose (follow-up)",34.6,ctgov,,,,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,ctgov_verified_match,34.6,0.0,Percentage of Participants With Objective Response (OR),PRIMARY,"Baseline until disease progression or initiation of antitumor therapy or death due to any cause, assessed every 8 weeks up to 28 days after last dose (follow-up)",NUMBER,percentage of participants,,,OG000,Axitinib,34.6,52.0,34.6,22.0,49.1,https://clinicaltrials.gov/study/NCT00389441,https://clinicaltrials.gov/api/v2/studies/NCT00389441,2026-06-03,
