reasonableness_class,atlas_row_index,nct_id,arm_group_id,arm_title,tissue_type,line_of_therapy,therapy_class,is_combination,biomarker,model_orr_pct,model_orr_pct_source,orr_endpoint_title,ctgov_outcome_title,ctgov_class_title,ctgov_category_title,ctgov_measurement_value,ctgov_measurement_denominator,ctgov_verified_orr_pct,used_by_n_target_rows,used_as_support_cells,target_surface_pair_ids,source_url,api_url
ctgov_verified_orr_like,314,NCT00453895,OG000,Sunitinib,adrenal_paraganglioma,1L,targeted_therapy,False,no,0,ctgov,Assessment of Objective Response Rates,Assessment of Objective Response Rates,,,0,35.0,0.0,27,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00453895,https://clinicaltrials.gov/api/v2/studies/NCT00453895
ctgov_verified_orr_like,393,NCT03691207,OG000,Cohort 1 - AL101 4mg,adenoid_cystic,1L,targeted_therapy,False,no,7.31707,ctgov,Overall Response Rate (ORR),Overall Response Rate (ORR),,,3,41.0,7.317073170731707,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT03691207,https://clinicaltrials.gov/api/v2/studies/NCT03691207
ctgov_verified_orr_like,394,NCT03691207,OG001,Cohort 2 - AL101 6mg,adenoid_cystic,1L,targeted_therapy,False,no,5.55556,ctgov,Overall Response Rate (ORR),Overall Response Rate (ORR),,,2,36.0,5.555555555555555,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT03691207,https://clinicaltrials.gov/api/v2/studies/NCT03691207
ctgov_verified_orr_like,625,NCT01876043,OG000,plitidepsin,sarcoma_gist_bone,2L+,chemotherapy,False,no,0,ctgov,Percentage of Patients With Objective Response at Six Months (as Per RECIST v1.1),Percentage of Patients With Objective Response at Six Months (as Per RECIST v1.1),,,0,22.0,0.0,29,fallback_global_therapy;global_therapy,breast::docetaxel;breast::doxorubicin;breast::gemcitabine;breast::paclitaxel;crc::fluorouracil;crc::irinotecan;crc::oxaliplatin;crc::pemetrexed;crc::raltitrexed;gastric::irinotecan;gastric::pemetrexed;hnscc::methotrexate;nsclc::docetaxel;nsclc::epirubicin;nsclc::gemcitabine;nsclc::idarubicin;nsclc::irinotecan;nsclc::mitoxantrone;nsclc::paclitaxel;nsclc::pemetrexed;ovarian::altretamine;ovarian::docetaxel;ovarian::gemcitabine;ovarian::paclitaxel;ovarian::pemetrexed;ovarian::topotecan;pdac::fluorouracil;pdac::gemcitabine;prostate::mitoxantrone,https://clinicaltrials.gov/study/NCT01876043,https://clinicaltrials.gov/api/v2/studies/NCT01876043
reviewed_keep_ctgov_measure_is_cr_pr_or_zero_response,751,NCT00654238,OG000__sorafenib_8879c49a,Sorafenib,thyroid,1L,targeted_therapy,False,no,29.0909,ctgov,To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.,To Determine the Efficacy (Best Response) of BAY 43-9006 (Objective Response Rate and Stable Disease) in Patients With Metastatic Thyroid Carcinoma.,Differentiated,Partial response,16,55.0,29.09090909090909,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00654238,https://clinicaltrials.gov/api/v2/studies/NCT00654238
ctgov_verified_orr_like,943,NCT01246986,OG000__part_a_cohort_1_160_mg_ly2157299_a6bcba8c,Part A Cohort 1 - 160 mg LY2157299,liver_hcc,maintenance,targeted_therapy,False,no,0,ctgov,Percentage of Participants Achieving an Objective Response (Response Rate),Percentage of Participants Achieving an Objective Response (Response Rate),Complete Response,,0,30.0,0.0,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT01246986,https://clinicaltrials.gov/api/v2/studies/NCT01246986
ctgov_verified_orr_like,947,NCT01246986,OG002__p002,Part B - 300 mg LY2157299,liver_hcc,maintenance,targeted_therapy,False,no,13.7037,ctgov,Percentage of Participants Achieving an Objective Response (Response Rate),Percentage of Participants Achieving an Objective Response (Response Rate),Aggregate response categories,Complete Response; Partial Response,3.7,27.0,13.703703703703704,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT01246986,https://clinicaltrials.gov/api/v2/studies/NCT01246986
ctgov_verified_orr_like,1131,NCT01259869,OG000,PX-866,glioma_brain,adjuvant,targeted_therapy,False,no,3.0303,ctgov,Objective Response Rate,Objective Response Rate,,,1,33.0,3.0303030303030303,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT01259869,https://clinicaltrials.gov/api/v2/studies/NCT01259869
ctgov_verified_orr_like,1390,NCT00389441,OG000,Axitinib,thyroid,2L+,targeted_therapy,False,no,34.6,ctgov,Percentage of Participants With Objective Response (OR),Percentage of Participants With Objective Response (OR),,,34.6,52.0,34.6,33,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::cabozantinib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::cabozantinib;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT00389441,https://clinicaltrials.gov/api/v2/studies/NCT00389441
ctgov_verified_orr_like,1567,NCT01588821,OG000__cabozantinib_346f361f,Cabozantinib,lung,2L+,targeted_therapy,False,no,15,ctgov,Overall Tumor Response Rate,Overall Tumor Response Rate,Partial Response,,3,20.0,15.0,31,global_therapy,breast::bortezomib;breast::erlotinib;breast::gefitinib;breast::sunitinib;crc::bortezomib;crc::gefitinib;crc::regorafenib;crc::sunitinib;gastric::erlotinib;gastric::everolimus;gastric::lapatinib;gastric::regorafenib;gastric::sunitinib;nsclc::afatinib;nsclc::bortezomib;nsclc::erlotinib;nsclc::gefitinib;nsclc::lapatinib;nsclc::vandetanib;nsclc::volasertib;ovarian::bortezomib;ovarian::sunitinib;ovarian::temsirolimus;pdac::abemaciclib;pdac::erlotinib;pdac::sunitinib;rcc::belzutifan;rcc::everolimus;rcc::regorafenib;rcc::sunitinib;rcc::temsirolimus,https://clinicaltrials.gov/study/NCT01588821,https://clinicaltrials.gov/api/v2/studies/NCT01588821
