surface_pair_id,benchmark_row_id,cohort,disease,drug,drug_norm_clean,moa_component,target_therapy_family,observed_orr_pct,depmap_lineage,depmap_screen,depmap_compound_id,depmap_lineage_n,depmap_abs_lineage_auc,depmap_abs_global_auc,depmap_lineage_rank,depmap_lineage_sensitivity_rank,depmap_lineage_auc_sensitivity,depmap_global_auc_sensitivity
breast::bortezomib,cohort_strict44_01,breast,breast,Bortezomib,bortezomib,proteasome,targeted_therapy,0.0,Breast,GDSC2,DPC-001195,49,0.7954284276987914,0.7960156048944268,0.4776989687132849,0.5223010312867151,-0.7954284276987914,-0.7960156048944268
breast::docetaxel,cohort_strict44_02,breast,breast,Docetaxel,docetaxel,taxane,chemotherapy,47.8,Breast,GDSC2,DPC-002313,50,0.8620468198835429,0.8415523501780925,0.5652536997885835,0.43474630021141647,-0.8620468198835429,-0.8415523501780925
breast::doxorubicin,cohort_strict44_03,breast,breast,Doxorubicin,doxorubicin,topo2_anthracycline,chemotherapy,33.3,Breast,GDSC1,DPC-002342,47,0.496685003804237,0.4270018843084959,0.6260791621455867,0.3739208378544133,-0.496685003804237,-0.4270018843084959
breast::erlotinib,cohort_strict44_04,breast,breast,Erlotinib,erlotinib,egfr_her2_mapk,targeted_therapy,3.0,Breast,GDSC2,DPC-002573,49,0.9181511929922271,0.9042552058981899,0.5247440829366891,0.47525591706331094,-0.9181511929922271,-0.9042552058981899
breast::gefitinib,cohort_strict44_05,breast,breast,Gefitinib,gefitinib,egfr_her2_mapk,targeted_therapy,1.7,Breast,GDSC2,DPC-002973,49,0.9421775124959338,0.9390435912372616,0.5017898068318236,0.4982101931681764,-0.9421775124959338,-0.9390435912372616
breast::gemcitabine,cohort_strict44_06,breast,breast,Gemcitabine,gemcitabine,gemcitabine_nucleoside,chemotherapy,20.2,Breast,GDSC2,DPC-002977,49,0.815959194020465,0.6592573982891514,0.7313249109167477,0.2686750890832523,-0.815959194020465,-0.6592573982891514
breast::paclitaxel,cohort_strict44_07,breast,breast,Paclitaxel,paclitaxel,taxane,chemotherapy,25.0,Breast,GDSC2,DPC-004880,49,0.8478484616240944,0.8857852064539432,0.3280100952961142,0.6719899047038858,-0.8478484616240944,-0.8857852064539432
breast::sunitinib,cohort_strict44_08,breast,breast,Sunitinib,sunitinib,vegf_multikinase,targeted_therapy,10.6,Breast,,,0,nan,nan,nan,nan,nan,nan
crc::bortezomib,cohort_strict44_09,crc,crc,Bortezomib,bortezomib,proteasome,targeted_therapy,0.0,Bowel,GDSC2,DPC-001195,46,0.8137773043130708,0.7960156048944268,0.5631083711875405,0.43689162881245946,-0.8137773043130708,-0.7960156048944268
crc::cabozantinib,cohort_strict44_10,crc,crc,Cabozantinib,cabozantinib,vegf_multikinase,targeted_therapy,2.5,Bowel,GDSC1,DPC-001428,44,0.9477297919662653,0.9205765926425249,0.5670594837261503,0.43294051627384966,-0.9477297919662653,-0.9205765926425249
crc::5_fluorouracil,cohort_strict44_11,crc,crc,5-Fluorouracil,5_fluorouracil,fluoropyrimidine_tyms,chemotherapy,17.3,Bowel,GDSC2,DPC-002828,48,0.8702443316697007,0.8819607708958066,0.4405455508474576,0.5594544491525424,-0.8702443316697007,-0.8819607708958066
crc::gefitinib,cohort_strict44_12,crc,crc,Gefitinib,gefitinib,egfr_her2_mapk,targeted_therapy,1.0,Bowel,GDSC2,DPC-002973,45,0.924146914906918,0.9390435912372616,0.44644087938205584,0.5535591206179442,-0.924146914906918,-0.9390435912372616
crc::irinotecan,cohort_strict44_13,crc,crc,Irinotecan,irinotecan,topo1,chemotherapy,7.0,Bowel,GDSC2,DPC-003469,48,0.9148941732028898,0.8587465716015312,0.6575520833333334,0.34244791666666663,-0.9148941732028898,-0.8587465716015312
crc::oxaliplatin,cohort_strict44_14,crc,crc,Oxaliplatin,oxaliplatin,platinum_dna_damage,chemotherapy,10.5,Bowel,,,0,nan,nan,nan,nan,nan,nan
crc::pemetrexed,cohort_strict44_15,crc,crc,Pemetrexed,pemetrexed,antifolate_tyms,chemotherapy,0.0,Bowel,GDSC1,DPC-004977,43,0.8818492284982753,0.8952240355172887,0.41197321265074427,0.5880267873492557,-0.8818492284982753,-0.8952240355172887
crc::raltitrexed,cohort_strict44_16,crc,crc,Raltitrexed,raltitrexed,antifolate_tyms,chemotherapy,11.1,Bowel,PRISM,DPC-005491,27,0.5408533812313919,0.5794291136687116,0.3737765249393156,0.6262234750606843,-0.5408533812313919,-0.5794291136687116
crc::regorafenib,cohort_strict44_17,crc,crc,Regorafenib,regorafenib,vegf_multikinase,targeted_therapy,1.0,Bowel,PRISM,DPC-005513,37,0.9169589906880665,0.9047220048425483,0.5442630578929001,0.4557369421070999,-0.9169589906880665,-0.9047220048425483
crc::sunitinib,cohort_strict44_18,crc,crc,Sunitinib,sunitinib,vegf_multikinase,targeted_therapy,1.2,Bowel,,,0,nan,nan,nan,nan,nan,nan
nsclc::docetaxel,cohort_strict44_19,nsclc,nsclc,Docetaxel,docetaxel,taxane,chemotherapy,13.3,Lung,GDSC2,DPC-002313,163,0.8514279164314559,0.8415523501780925,0.5310834122362158,0.4689165877637842,-0.8514279164314559,-0.8415523501780925
nsclc::epirubicin,cohort_strict44_20,nsclc,nsclc,Epirubicin,epirubicin,topo2_anthracycline,chemotherapy,36.0,Lung,GDSC2,DPC-002463,162,0.7476395819624699,0.702955855770478,0.5783602203552506,0.4216397796447494,-0.7476395819624699,-0.702955855770478
nsclc::erlotinib,cohort_strict44_21,nsclc,nsclc,Erlotinib,erlotinib,egfr_her2_mapk,targeted_therapy,11.0,Lung,GDSC2,DPC-002573,162,0.9011718001311728,0.9042552058981899,0.5147747143664787,0.4852252856335213,-0.9011718001311728,-0.9042552058981899
nsclc::gefitinib,cohort_strict44_22,nsclc,nsclc,Gefitinib,gefitinib,egfr_her2_mapk,targeted_therapy,39.2,Lung,GDSC2,DPC-002973,162,0.9317763518323291,0.9390435912372616,0.489971611540239,0.510028388459761,-0.9317763518323291,-0.9390435912372616
nsclc::gemcitabine,cohort_strict44_23,nsclc,nsclc,Gemcitabine,gemcitabine,gemcitabine_nucleoside,chemotherapy,0.0,Lung,GDSC2,DPC-002977,163,0.7128311572631862,0.6592573982891514,0.5758950887785244,0.42410491122147564,-0.7128311572631862,-0.6592573982891514
nsclc::idarubicin,cohort_strict44_24,nsclc,nsclc,Idarubicin,idarubicin,topo2_anthracycline,chemotherapy,0.0,Lung,PRISM,DPC-003346,82,0.6011508930278244,0.6123507468511806,0.45918544696135793,0.5408145530386421,-0.6011508930278244,-0.6123507468511806
nsclc::irinotecan,cohort_strict44_25,nsclc,nsclc,Irinotecan,irinotecan,topo1,chemotherapy,21.4,Lung,GDSC2,DPC-003469,162,0.8701310158131162,0.8587465716015312,0.5327539757271396,0.46724602427286044,-0.8701310158131162,-0.8587465716015312
nsclc::lapatinib,cohort_strict44_26,nsclc,nsclc,Lapatinib,lapatinib,egfr_her2_mapk,targeted_therapy,1.3,Lung,GDSC2,DPC-003736,163,0.9039980030554892,0.8978238405435127,0.525708442886357,0.474291557113643,-0.9039980030554892,-0.8978238405435127
nsclc::mitoxantrone,cohort_strict44_27,nsclc,nsclc,Mitoxantrone,mitoxantrone,topo2_anthracycline,chemotherapy,0.0,Lung,GDSC2,DPC-004229,112,0.8034968785125765,0.7547164753780954,0.5663665038665039,0.4336334961334961,-0.8034968785125765,-0.7547164753780954
nsclc::paclitaxel,cohort_strict44_28,nsclc,nsclc,Paclitaxel,paclitaxel,taxane,chemotherapy,34.2,Lung,GDSC2,DPC-004880,161,0.8915675000500044,0.8857852064539432,0.5259505489411859,0.47404945105881413,-0.8915675000500044,-0.8857852064539432
nsclc::pemetrexed,cohort_strict44_29,nsclc,nsclc,Pemetrexed,pemetrexed,antifolate_tyms,chemotherapy,10.3,Lung,GDSC1,DPC-004977,151,0.9422793024951995,0.8952240355172887,0.559963944904238,0.44003605509576205,-0.9422793024951995,-0.8952240355172887
nsclc::topotecan,cohort_strict44_30,nsclc,nsclc,Topotecan,topotecan,topo1,chemotherapy,5.0,Lung,GDSC2,DPC-006564,112,0.7808332619571011,0.7436541144474133,0.5685668498168498,0.4314331501831502,-0.7808332619571011,-0.7436541144474133
nsclc::vandetanib,cohort_strict44_31,nsclc,nsclc,Vandetanib,vandetanib,vegf_multikinase,targeted_therapy,9.1,Lung,PRISM,DPC-006799,115,0.9284400680389905,0.9217080877852207,0.5305577762745218,0.46944222372547817,-0.9284400680389905,-0.9217080877852207
nsclc::volasertib,cohort_strict44_32,nsclc,nsclc,Volasertib,volasertib,plk1_mitotic,targeted_therapy,8.1,Lung,PRISM,DPC-006868,116,0.49928729029889446,0.5137389433746383,0.469235735807547,0.530764264192453,-0.49928729029889446,-0.5137389433746383
ovarian::altretamine,cohort_strict44_33,ovarian,ovarian,Altretamine,altretamine,alkylator_low_specificity,chemotherapy,45.6,Ovary/Fallopian Tube,PRISM,DPC-000470,8,0.999627329580304,0.9956646287642023,0.5532407407407408,0.4467592592592592,-0.999627329580304,-0.9956646287642023
