label,score_col,n_orr,pearson,spearman,within_disease_pair_weighted_pearson,within_disease_pair_weighted_spearman,auc_success_above_disease_median,control_family,variant,random_iter
signed_mag_tail_soft_primary:real,expected_orr_pct,44,0.5216101077305562,0.6327956211001212,0.3630509173355294,0.4391233795235021,0.7204968944099379,real,signed_mag_tail_soft_primary,
signed_mag_tail_soft_primary:hard_same_patient_max_wrong_drug,expected_orr_pct,44,0.3115183495615964,0.1953613583190791,-0.0616316274409323,-0.1266668188306834,0.4927536231884058,hard_same_patient_max_wrong_drug,signed_mag_tail_soft_primary,
signed_mag_tail_soft_primary:hard_same_patient_min_wrong_drug,expected_orr_pct,44,-0.1572791204677103,0.0012913237384181,-0.2657107701512032,-0.212688374817075,0.4057971014492754,hard_same_patient_min_wrong_drug,signed_mag_tail_soft_primary,
signed_mag_tail_hard_reference:real,expected_orr_pct,44,0.5624889246737934,0.6214189900360507,0.4084955034069356,0.4950988374517546,0.7391304347826086,real,signed_mag_tail_hard_reference,
signed_mag_tail_hard_reference:hard_same_patient_max_wrong_drug,expected_orr_pct,44,0.2781984504485421,0.3941775115191049,0.054368474198764,-0.02145669382978,0.5082815734989649,hard_same_patient_max_wrong_drug,signed_mag_tail_hard_reference,
signed_mag_tail_hard_reference:hard_same_patient_min_wrong_drug,expected_orr_pct,44,-0.1362387850891033,-0.2040394003263221,-0.3812163103458736,-0.4806958436003966,0.4565217391304347,hard_same_patient_min_wrong_drug,signed_mag_tail_hard_reference,
grid_covgate90_magm0005_tailm0020:real,expected_orr_pct,44,0.5786034692374693,0.6467070972028691,0.3922821236823675,0.4204256593332446,0.7122153209109731,real,grid_covgate90_magm0005_tailm0020,
grid_covgate90_magm0005_tailm0020:hard_same_patient_max_wrong_drug,expected_orr_pct,44,0.2993169777984149,0.2666548731905896,-0.0566720854276475,-0.136059463013139,0.4927536231884058,hard_same_patient_max_wrong_drug,grid_covgate90_magm0005_tailm0020,
grid_covgate90_magm0005_tailm0020:hard_same_patient_min_wrong_drug,expected_orr_pct,44,-0.1617839561524667,0.0012913237384181,-0.2657097278764392,-0.212688374817075,0.4057971014492754,hard_same_patient_min_wrong_drug,grid_covgate90_magm0005_tailm0020,
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0000,expected_orr_pct,44,0.248186148959972,0.3645230438699727,-0.1875777943612046,-0.1644434682843666,0.4761904761904761,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,0.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0001,expected_orr_pct,44,0.4177559863529472,0.3323218606067594,-0.0150916844729234,-0.058471544477135,0.432712215320911,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,1.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0002,expected_orr_pct,44,0.283292736018623,0.2506184197393516,-0.249318994442133,-0.3453392650167277,0.4099378881987577,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,2.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0003,expected_orr_pct,44,0.2846353958014627,0.2982140283345398,-0.093930539809169,-0.2072711760029781,0.4596273291925465,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,3.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0004,expected_orr_pct,44,0.2553040165329905,0.2887513999194728,-0.2306952813796668,-0.2813729316252918,0.4699792960662526,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,4.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0005,expected_orr_pct,44,0.4205340499183023,0.4721427879338702,0.1443050921574741,0.0480892483270703,0.5341614906832298,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,5.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0006,expected_orr_pct,44,0.4097189750816156,0.4254651955282034,-0.0854896684528477,-0.1396654701021729,0.4658385093167702,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,6.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0007,expected_orr_pct,44,0.5459345310349972,0.5894370103027243,0.3024383369794506,0.279391639875061,0.5714285714285714,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,7.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0008,expected_orr_pct,44,0.2872084766031217,0.3221530658920604,-0.2752109115803872,-0.2516464416806089,0.4265010351966873,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,8.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0009,expected_orr_pct,44,0.3835093868029836,0.4747556032425081,-0.0143310792504547,-0.0080406796765073,0.5403726708074534,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,9.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0010,expected_orr_pct,44,0.3710464542559257,0.3691131248175799,-0.0892752590258297,-0.140636171605823,0.463768115942029,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,10.0
signed_mag_tail_soft_primary:random_same_patient_wrong_drug_0011,expected_orr_pct,44,0.228925696834194,0.3043576751413372,-0.2591980387367974,-0.3928871402130252,0.3830227743271222,random_same_patient_wrong_drug,signed_mag_tail_soft_primary,11.0
