cohort,prediction_source,n_patient_rows,ct_hetero_moa_mean_nonnull,ct_hetero_moa_fraction_nonnull,ct_hetero_joint_p10_nonnull,ct_hetero_moa_mean_complete_rate
breast,current_production_default,104,0,0,0,0.0
crc,current_production_default,120,0,0,0,0.0
crc,ge5_missing_backfill,80,80,80,80,1.0
gastric,ge5_missing_backfill,350,350,350,350,1.0
hnscc,ge5_missing_backfill,7,7,7,7,1.0
nsclc,current_production_default,195,0,0,0,0.0
nsclc,ge5_missing_backfill,63,63,63,63,1.0
ovarian,current_production_default,48,0,0,0,0.0
ovarian,ge5_missing_backfill,12,12,12,12,1.0
pdac,current_production_default,52,0,0,0,0.0
pdac,ge5_missing_backfill,13,13,13,13,1.0
prostate,ge5_missing_backfill,16,16,16,16,1.0
rcc,ge5_missing_backfill,18,18,18,18,1.0
