cohort,prediction_source,prevalence_extraction_source,prevalence_granularity,prevalence_generation_semantics,source_row_id_status,n_patient_rows,score_mean,apoptosis_null_mean,apoptosis_pred_mean,prevalence_population_cell_fraction_mean
breast,current_production_default,default_cache_20260521,single_cell,single_cell_marker_panel_matched_null_step4,cell_prefix,80,0.12022475718214201,0.20025842676197086,0.1788595729874689,0.16719
breast,current_production_default,default_cache_20260521,single_cell,single_cell_marker_panel_matched_null_step4,numeric,24,0.12963449652968406,0.20041130133635374,0.2011664029644965,0.24233333333333337
crc,current_production_default,default_cache_20260521,single_cell,single_cell_marker_panel_matched_null_step4,cell_prefix,18,0.0936808161522759,0.2002731377352574,0.19822904337206668,0.3013
crc,current_production_default,default_cache_20260521,single_cell,single_cell_marker_panel_matched_null_step4,numeric,96,0.02691107419550302,0.2002074684085204,0.1834355579177397,0.3691
crc,current_production_default,default_cache_20260521,single_cell,single_cell_marker_panel_matched_null_step4,source_specific_offset:cosmx_crc_6k,6,0.13699631370261334,0.20022460034350642,0.186946756506804,0.2523
crc,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,cell_prefix,12,0.03966518726645163,0.20022484239281468,0.2155973910393223,0.33770000000000006
crc,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,numeric,64,0.009819760714519931,0.20020633097238352,0.10081478481480276,0.3691
crc,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,source_specific_offset:cosmx_crc_6k,4,0.05266775895324366,0.200137394092054,0.1503320357224639,0.4367
gastric,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,unsupported_source_obs_id:c_1_100_108,7,0.05062956029050682,0.2011605415860735,0.09643547941420273,0.517
gastric,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,unsupported_source_obs_id:c_1_104_1762,7,0.025701611185037672,0.2,0.09892857142857144,0.4
gastric,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,unsupported_source_obs_id:c_1_111_1055,7,0.0507640221479174,0.203125,0.14397321428571427,0.256
gastric,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,unsupported_source_obs_id:c_1_114_252,7,0.07690471481194192,0.2005141388174807,0.16378993756885785,0.38899999999999996
gastric,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,unsupported_source_obs_id:c_1_120_1016,7,0.08673096114563068,0.20053238686779049,0.185226264418811,0.644
gastric,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,unsupported_source_obs_id:c_1_124_1042,7,0.054170209634961754,0.20137299771167042,0.1059169663288656,0.437
gastric,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,unsupported_source_obs_id:c_1_126_442,7,0.08944194243709092,0.2006633499170812,0.17484008528784645,0.603
gastric,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,unsupported_source_obs_id:c_1_130_318,7,0.017389553168077648,0.2,0.087032967032967,0.325
gastric,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,unsupported_source_obs_id:c_1_135_1125,7,0.06080474329139156,0.2014925373134328,0.13326226012793171,0.268
gastric,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,unsupported_source_obs_id:c_1_138_1007,7,0.07306172958658144,0.2014051522248243,0.14486450317832048,0.427
gastric,ge5_missing_backfill,ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell,single_cell_marker_panel_matched_null_step4,unsupported_source_obs_id:c_1_140_105,7,0.0889811106564957,0.2010243277848911,0.16370952990671298,0.781
