cohort,prediction_source,axis_policy,moa_conversion_control_applied,n_patient_rows,score_mean,engagement_mean,coverage_mean,tail_mean,apoptosis_pred_mean
breast,current_production_default,moa_tailored_available_axis_product_v1,False,104,0.12239623549311325,1.0,0.6990024672942021,0.7706396207046708,0.18400730298216758
crc,current_production_default,moa_tailored_available_axis_product_v1,False,120,0.04243079746437447,1.0,0.23808597044572313,0.45981159980919056,0.18583014066534195
crc,ge5_missing_backfill,moa_tailored_available_axis_product_v1,False,60,0.01144417878910568,1.0,0.05,0.08333333333333333,0.11320521477931351
crc,ge5_missing_backfill,moa_tailored_moa_conversion_control_axis_product_v1,True,20,0.03142336206966645,0.18,0.48829984089001127,0.29223159419930933,0.1424165088375144
gastric,ge5_missing_backfill,moa_tailored_moa_conversion_control_axis_product_v1,True,350,0.060120985693178794,0.21857142857142858,0.629172086901313,0.5557870800434823,0.13453525142419628
hnscc,ge5_missing_backfill,moa_tailored_moa_conversion_control_axis_product_v1,True,7,0.06493441230322068,0.12,0.9810891255461472,0.7152659875166801,0.09239378533775204
nsclc,current_production_default,moa_tailored_available_axis_product_v1,False,195,0.09415200082951254,1.0,0.47708792355565316,0.7542766030777324,0.18642499653709635
nsclc,ge5_missing_backfill,moa_tailored_available_axis_product_v1,False,21,0.01082251082251082,1.0,0.047619047619047616,0.2857142857142857,0.10775489835625238
nsclc,ge5_missing_backfill,moa_tailored_moa_conversion_control_axis_product_v1,True,42,0.0304694798782062,0.5499999999999999,0.3294553012939585,0.29678681624607345,0.1374070784507811
ovarian,current_production_default,moa_tailored_available_axis_product_v1,False,48,0.11163224967901235,1.0,0.603267967475207,0.7353195312071747,0.19334398730332125
ovarian,ge5_missing_backfill,moa_tailored_moa_conversion_control_axis_product_v1,True,12,0.15718960029519097,0.11499999999999999,0.9054715181118501,0.8642895794944779,0.18774448633725901
pdac,current_production_default,moa_tailored_available_axis_product_v1,False,52,0.0714528717738026,1.0,0.3846153884228795,0.44423092397379016,0.17715874473292625
pdac,ge5_missing_backfill,moa_tailored_moa_conversion_control_axis_product_v1,True,13,0.006461768017660347,0.12000000000000001,0.09748166383939341,0.13091494783941401,0.10397768353918956
prostate,ge5_missing_backfill,moa_tailored_available_axis_product_v1,False,8,0.0,1.0,0.0,0.875,0.20759097221197315
prostate,ge5_missing_backfill,moa_tailored_moa_conversion_control_axis_product_v1,True,8,0.14422019531843783,0.9,0.7572428053880323,0.7177638606320389,0.2040247182929628
rcc,ge5_missing_backfill,moa_tailored_moa_conversion_control_axis_product_v1,True,18,0.030951510745993553,0.8166666666666667,0.3895412426172876,0.4849377057823806,0.12407593510400505
