cohort,dataset,n_nominal_samples,total_drug_rows,prediction_sources,prevalence_sources,prevalence_semantics,source_row_id_statuses,mean_score_mean,min_score_mean,max_score_mean
crc,cervilla_colorectal_5k,1,10,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,cell_prefix,0.10806278386921955,0.10806278386921955,0.10806278386921955
crc,colorectal,16,160,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,numeric,0.020074548803109785,1.7561003905584745e-05,0.07320927058345847
crc,cosmx_crc_6k,1,10,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,source_specific_offset:cosmx_crc_6k,0.10326489180286547,0.10326489180286547,0.10326489180286547
crc,spatch_cosmx_6k_coad,1,10,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,cell_prefix,0.07001207609133168,0.07001207609133168,0.07001207609133168
crc,spatch_xenium_5k_coad,1,10,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,cell_prefix,0.03814883383328733,0.03814883383328733,0.03814883383328733
nsclc,cosmx_nsclc_he_2022,8,128,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,cell_prefix,0.07826083902291182,0.04189672583298966,0.11062296369402015
nsclc,lung_cancer,4,64,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,numeric,0.07831089679165887,0.05892032132765683,0.09405880836750875
ovarian,cervilla_ovarian_5k,1,10,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,cell_prefix,0.11315739711311748,0.11315739711311748,0.11315739711311748
ovarian,spatch_cosmx_6k_ov,1,10,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,cell_prefix,0.051342955402033666,0.051342955402033666,0.051342955402033666
ovarian,spatch_xenium_5k_ov,1,10,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,cell_prefix,0.12045194030380287,0.12045194030380287,0.12045194030380287
ovarian,xenium_ovarian,3,30,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,numeric,0.14650334199817813,0.10046729653881419,0.16996850516202244
pdac,cosmx_pdac_6k,5,25,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,source_specific_offset:cosmx_pdac_6k,0.08312344083718111,0.08157824606939663,0.08500443696724942
pdac,pancreas_pdac,8,40,current_production_default; ge5_missing_backfill,default_cache_20260521; ge5_backfill_cache_20260527_prevalence_marker_panel,single_cell_marker_panel_matched_null_step4,numeric,0.04303665738844482,0.021708846258207584,0.0789252786394808
