control,quantity,n,pearson_vs_baseline,spearman_vs_baseline,mean_abs_movement,max_abs_movement
actual_gene_shuffled_prior_cascade,p_signed_moa_tail_soft,11,0.3609898224482229,0.9181818181818184,0.3287676625515306,0.8603847641488002
actual_gene_shuffled_prior_cascade,kras_mapk_support,11,0.9765776308177634,0.9545454545454546,0.6264581666751341,1.2273834943771362
actual_gene_shuffled_prior_cascade,egfr_support,11,0.9802760841594254,0.8545454545454546,0.5311243103986437,1.2759172916412356
actual_gene_shuffled_prior_cascade,cytostasis_support,11,0.904625945499618,0.9545454545454546,1.2576095973226158,2.1536466181278224
actual_gene_shuffled_prior_cascade,escape_control_support,11,0.7788860114054416,0.7090909090909092,2.4390339892865582,4.407431960105896
actual_gene_shuffled_prior_cascade,kill_conversion_support,11,0.9511382779464956,0.9,0.1736659754744985,0.3288713842630387
actual_hard_donor_prior_cascade,p_signed_moa_tail_soft,11,0.9983937353391246,0.990909090909091,0.0076874790014921,0.0660313717181627
actual_hard_donor_prior_cascade,kras_mapk_support,11,0.9949691096237442,0.9727272727272728,0.102718523280187,0.2548238039016723
actual_hard_donor_prior_cascade,egfr_support,11,0.9953088331587848,0.9818181818181818,0.2165829783136194,0.49174365401268
actual_hard_donor_prior_cascade,cytostasis_support,11,0.9975041051251264,0.990909090909091,0.0662039247426119,0.1233272552490234
actual_hard_donor_prior_cascade,escape_control_support,11,0.9943121562131658,0.9818181818181818,0.4576030265201223,1.0974926948547368
actual_hard_donor_prior_cascade,kill_conversion_support,11,0.996382881914421,1.0,0.0294887445528398,0.06093031167984
